"short.ref"	"key.or.doi"	"long.ref"
"Sarasketa-Gartzia et al. 2018"	"10.1007/s12520-018-0678-7"	"Sarasketa-Gartzia, I., Villalba-Mouco, V., Le Roux, P., Arrizabalaga, Á., & Salazar-García, D. C. (2018). Anthropic resource exploitation and use of the territory at the onset of social complexity in the Neolithic-Chalcolithic Western Pyrenees: a multi-isotope approach. Archaeological and Anthropological Sciences, 11(8), 3665–3680. doi:10.1007/s12520-018-0678-7"
"Fernández et al. 2020"	"10.1007/s12520-020-01207-x"	"Fernández, L.-E., Sanchidrián, J. L., Jiménez-Brobeil, S. A., Remolins, G., Díaz-Zorita, M., Morell, B., … Gibaja, J. F. (2020). Mesolithic human remains at Cueva de Nerja (Málaga, Spain): anthropological, isotopic and radiocarbon data. Archaeological and Anthropological Sciences, 12(10). doi:10.1007/s12520-020-01207-x"
"Morales Hidalgo et al. 2010"	"10.1016/j.anthro.2010.07.004"	"Morales Hidalgo, J. I., Fontanals Torroja, M., Oms Arias, F. X., & Vergès Bosch, J. M. (2010). La chronologie du Néolithique ancien cardial du nord-est de la péninsule Ibérique. Datations, problématique et méthodologie. L’Anthropologie, 114(4), 427–444. doi:10.1016/j.anthro.2010.07.004"
"Allué et al. 2012"	"10.1016/j.crpv.2012.04.004"	"Allué, E., Martínez-Moreno, J., Alonso, N., & Mora, R. (2012). Changes in the vegetation and human management of forest resources in mountain ecosystems at the beginning of MIS 1 (14.7–8 ka cal BP) in Balma Guilanyà (Southeastern Pre-Pyrenees, Spain). Comptes Rendus Palevol, 11(7), 507–518. doi:10.1016/j.crpv.2012.04.004"
"Remolins et al. 2016"	"10.1016/j.crpv.2015.11.005"	"Remolins, G., Gibaja, J. F., Allièse, F., Fontanals, M., Martin, P., Masclans, A., … Llovera, X. (2016). The Neolithic Necropolis of La Feixa del Moro (Juberri, Andorra): New data on the first farming communities in the Pyrenees. Comptes Rendus Palevol, 15(5), 537–554. doi:10.1016/j.crpv.2015.11.005"
"Terna et al. 2016"	"10.1016/j.epsl.2016.05.003"	"Tema, E., Ferrara, E., Camps, P., Conati Barbaro, C., Spatafora, S., Carvallo, C., & Poidras, T. (2016). The Earth’s magnetic field in Italy during the Neolithic period: New data from the Early Neolithic site of Portonovo (Marche, Italy). Earth and Planetary Science Letters, 448, 49–61. doi:10.1016/j.epsl.2016.05.003"
"Colonese et al. 2010"	"10.1016/j.gloplacha.2009.05.006"	"Colonese, A. C., Zanchetta, G., Fallick, A. E., Martini, F., Manganelli, G., & Drysdale, R. N. (2010). Stable isotope composition of Helix ligata (Müller, 1774) from Late Pleistocene–Holocene archaeological record from Grotta della Serratura (Southern Italy): Palaeoclimatic implications. Global and Planetary Change, 71(3-4), 249–257. doi:10.1016/j.gloplacha.2009.05.006"
"Daura et al. 2019"	"10.1016/j.jasrep.2018.10.036"	"Daura, J., Sanz, M., Oms, F. X., Pedro, M., Martínez, P., Mendiela, S., … Fullola, J. M. (2019). Deciphering Neolithic activities from a Cardial burial site (Cova Bonica) on the western Mediterranean coast. Journal of Archaeological Science: Reports, 23, 324–347. doi:10.1016/j.jasrep.2018.10.036"
"Masclans et al. 2019"	"10.1016/j.jasrep.2019.05.023"	"Masclans, A., Duboscq, S., Achino, K. F., Morell, B., & Gibaja, J. F. (2019). Looking for sexual differences during the middle Neolithic in the northeast of the Iberian Peninsula. Journal of Archaeological Science: Reports, 26, 101858. doi:10.1016/j.jasrep.2019.05.023"
"Polo & Fernández 2010"	"10.1016/j.quaint.2009.10.022"	"Díaz, A. P., & Eraso, J. F. (2010). Same anthropogenic activity, different taphonomic processes: A comparison of deposits from Los Husos I & II (Upper Ebro Basin, Spain). Quaternary International, 214(1-2), 82–97. doi:10.1016/j.quaint.2009.10.022"
"Utrilla et al. 2015"	"10.1016/j.quaint.2014.06.022"	"Utrilla, P., Mazo, C., & Domingo, R. (2015). Fifty thousand years of prehistory at the cave of Abauntz (Arraitz, Navarre): A nexus point between the Ebro Valley, Aquitaine and the Cantabrian Corridor. Quaternary International, 364, 294–305. doi:10.1016/j.quaint.2014.06.022"
"García-Martínez de Lagrán et al. 2016"	"10.1016/j.quaint.2015.06.050"	"10.1016/j.quaint.2015.06.050"
"García-Martínez de Legrán et al. 2016"	"10.1016/j.quaint.2015.06.050"	"García-Martínez de Lagrán, I., Iriarte, E., García-Gazólaz, J., Tejedor-Rodríguez, C., Gibaja-Bao, J. F., Moreno-García, M., … Rojo-Guerra, M. A. (2016). 8.2 ka BP paleoclimatic event and the Ebro Valley Mesolithic groups: Preliminary data from Artusia rock shelter (Unzué, Navarra, Spain). Quaternary International, 403, 151–173. doi:10.1016/j.quaint.2015.06.050"
"García-Martínez de Legrán et al. 2016"	"10.1016/j.quaint.2015.06.050 "	"10.1016/j.quaint.2015.06.050 "
"Marchand & Perrin 2017 "	"10.1016/j.quaint.2015.07.059"	"Marchand, G., & Perrin, T. (2017). Why this revolution? Explaining the major technical shift in Southwestern Europe during the 7th millennium cal. BC. Quaternary International, 428, 73–85. doi:10.1016/j.quaint.2015.07.059"
"Marchand & Perrin 2017"	"10.1016/j.quaint.2015.07.059"	"Marchand, G., & Perrin, T. (2017). Why this revolution? Explaining the major technical shift in Southwestern Europe during the 7th millennium cal. BC. Quaternary International, 428, 73–85. doi:10.1016/j.quaint.2015.07.059"
"Perrin & Defranould 2016"	"10.1016/j.quaint.2015.09.046"	"Perrin, T., & Defranould, E. (2016). The Montclus rock shelter (Gard) and the continuity hypothesis between 1st and 2nd Mesolithic in Southern France. Quaternary International, 423, 230–241. doi:10.1016/j.quaint.2015.09.046"
"Alcolea 2017"	"10.1016/j.quaint.2015.11.029"	"Alcolea Gracia, M. (2017). Mesolithic fuel use and woodland in the Middle Ebro Valley (NE Spain) through wood charcoal analysis. Quaternary International, 431, 39–51. doi:10.1016/j.quaint.2015.11.029"
"Lo Vetro & Martini 2016"	"10.1016/j.quaint.2015.12.043"	"Lo Vetro, D., & Martini, F. (2016). Mesolithic in Central–Southern Italy: Overview of lithic productions. Quaternary International, 423, 279–302. doi:10.1016/j.quaint.2015.12.043"
"Kompatscher et al. 2016"	"10.1016/j.quaint.2015.12.090"	"Kompatscher, K., Hrozny Kompatscher, N., Bassetti, M., Castiglioni, E., Rottoli, M., & Wierer, U. (2016). Mesolithic settlement and mobility patterns at high altitudes. The site of Staller Sattel STS 4A (South Tyrol, Italy). Quaternary International, 423, 23–48. doi:10.1016/j.quaint.2015.12.090"
"Garcia-Puchol et al. 2018"	"10.1016/j.quaint.2016.10.037"	"García-Puchol, O., McClure, S. B., Juan-Cabanilles, J., Diez-Castillo, A. A., Bernabeu-Aubán, J., Martí-Oliver, B., … Kennett, D. J. (2018). Cocina cave revisited: Bayesian radiocarbon chronology for the last hunter-gatherers and first farmers in Eastern Iberia. Quaternary International, 472, 259–271. doi:10.1016/j.quaint.2016.10.037"
"Serradimigni et al. 2016"	"10.1016/j.quaint.2016.12.027"	"Boschian, G., Serradimigni, M., Colombo, M., Ghislandi, S., & Grifoni Cremonesi, R. (2017). Change fast or change slow? Late Glacial and Early Holocene cultures in a changing environment at Grotta Continenza, Central Italy. Quaternary International, 450, 186–208. doi:10.1016/j.quaint.2016.12.027"
"García-Martínez de Lagrán 2017"	"10.1016/j.quaint.2016.12.043"	"García-Martínez de Lagrán, Í. (2018). Review of the archaeological contexts and theoretical models of the Neolithisation of Spain: The North Meseta, The Ebro Valley and Catalonia as a case study. Quaternary International, 472, 172–194. doi:10.1016/j.quaint.2016.12.043"
"Bernabeu et al. 2018"	"10.1016/j.quaint.2017.03.071"	"Bernabeu Aubán, J., García Puchol, O., & Orozco-Köhler, T. (2018). New insigths relating to the beginning of the Neolithic in the eastern Spain: Evaluating empirical data and modelled predictions. Quaternary International, 470, 439–450. doi:10.1016/j.quaint.2017.03.071"
"Bernabeu et al. 2017"	"10.1016/j.quaint.2017.03.071"	"Bernabeu Aubán, J., García Puchol, O., & Orozco-Köhler, T. (2018). New insigths relating to the beginning of the Neolithic in the eastern Spain: Evaluating empirical data and modelled predictions. Quaternary International, 470, 439–450. doi:10.1016/j.quaint.2017.03.071"
"Mazzucco et al. 2018"	"10.1016/j.quaint.2017.04.018"	"Mazzucco, N., Capuzzo, G., Petrinelli Pannocchia, C., Ibáñez, J. J., & Gibaja, J. F. (2018). Harvesting tools and the spread of the Neolithic into the Central-Western Mediterranean area. Quaternary International, 470, 511–528. doi:10.1016/j.quaint.2017.04.018"
"Perrin et al. 2018"	"10.1016/j.quaint.2017.05.027"	"Perrin, T., Manen, C., Valdeyron, N., & Guilaine, J. (2018). Beyond the sea… The Neolithic transition in the southwest of France. Quaternary International, 470, 318–332. doi:10.1016/j.quaint.2017.05.027"
"Starnini et al. 2018"	"10.1016/j.quaint.2017.05.059"	"Starnini, E., Biagi, P., & Mazzucco, N. (2018). The beginning of the Neolithic in the Po Plain (northern Italy): Problems and perspectives. Quaternary International, 470, 301–317. doi:10.1016/j.quaint.2017.05.059"
"Oms et al. 2018"	"10.1016/j.quaint.2017.06.003"	"Oms, F. X., Terradas, X., Morell, B., & Gibaja, J. F. (2018). Mesolithic-Neolithic transition in the northeast of Iberia: Chronology and socioeconomic dynamics. Quaternary International, 470, 383–397. doi:10.1016/j.quaint.2017.06.003"
"Radi & Petrinelli Pannocchia 2018"	"10.1016/j.quaint.2017.06.063"	"Radi, G., & Petrinelli Pannocchia, C. (2018). The beginning of the Neolithic era in Central Italy. Quaternary International, 470, 270–284. doi:10.1016/j.quaint.2017.06.063"
"Natali & Forgia 2018"	"10.1016/j.quaint.2017.07.004"	"Natali, E., & Forgia, V. (2018). The beginning of the Neolithic in Southern Italy and Sicily. Quaternary International, 470, 253–269. doi:10.1016/j.quaint.2017.07.004"
"Alday et al. 2019"	"10.1016/j.quaint.2017.10.044"	"Alday, A., Pérez-Romero, A., Iriarte, E., Francés-Negro, M., Arsuaga, J.-L., & Carretero, J.-M. (2019). Pottery with ramiform-anthropomorphic decoration from El Portalón de Cueva Mayor site (Sierra de Atapuerca, Burgos) and the globalized symbolic world of the first Neolithic. Quaternary International, 515, 125–137. doi:10.1016/j.quaint.2017.10.044"
"Lugliè 2018"	"10.1016/j.quaint.2017.12.032"	"Lugliè, C. (2018). Your path led trough the sea … The emergence of Neolithic in Sardinia and Corsica. Quaternary International, 470, 285–300. doi:10.1016/j.quaint.2017.12.032"
"Luglie 2018"	"10.1016/j.quaint.2017.12.032"	"Lugliè, C. (2018). Your path led trough the sea … The emergence of Neolithic in Sardinia and Corsica. Quaternary International, 470, 285–300. doi:10.1016/j.quaint.2017.12.032"
"Rojo-Guerra et al. 2018"	"10.1016/j.quaint.2017.12.037"	"Rojo-Guerra, M. A., García-Martínez de Lagrán, Í., & Royo-Guillén, J. I. (2018). The beginning of the Neolithic in the mid-Ebro valley and in Iberia’s Inland (Northern and Southern submeseta), Spain. Quaternary International, 470, 398–438. doi:10.1016/j.quaint.2017.12.037"
"Sparacello et al. 2019"	"10.1016/j.quaint.2019.02.003"	"Sparacello, V. S., Panelli, C., Rossi, S., Dori, I., Varalli, A., Goude, G., … Biagi, P. (2019). The re-discovery of Arma dell’Aquila (Finale Ligure, Italy): New insights on Neolithic funerary behavior from the sixth millennium BCE in the north-western Mediterranean. Quaternary International, 512, 67–81. doi:10.1016/j.quaint.2019.02.003"
"Cortés-Sánchez et al. 2020"	"10.1016/j.quaint.2019.11.028"	"Cortés-Sánchez, M., Calle Román, L., Simón-Vallejo, M. D., Lozano-Francisco, M. C., Riquelme Cantal, J. A., Vera-Peláez, J. L., … Macías Tejada, S. (2020). On the shore of Mediterranean sea. The end of the palaeolithic on the coast of Málaga (South of Spain). Quaternary International, 564, 94–99. doi:10.1016/j.quaint.2019.11.028"
"Sparacello et al. 2020"	"10.1016/j.quaint.2019.11.034"	"Sparacello, V. S., Varalli, A., Rossi, S., Panelli, C., Goude, G., Palstra, S. W. L., … Dori, I. (2020). Dating the funerary use of caves in Liguria (northwestern Italy) from the Neolithic to historic times: Results from a large-scale AMS campaign on human skeletal series. Quaternary International, 536, 30–44. doi:10.1016/j.quaint.2019.11.034"
"Alday et al. 2018"	"10.1016/j.quascirev.2017.11.006"	"Alday, A., Domingo, R., Sebastián, M., Soto, A., Aranbarri, J., González-Sampériz, P., … Peña-Monné, J. L. (2018). The silence of the layers: Archaeological site visibility in the Pleistocene-Holocene transition at the Ebro Basin. Quaternary Science Reviews, 184, 85–106. doi:10.1016/j.quascirev.2017.11.006"
"Dean et al. 2020"	"10.1016/j.quascirev.2020.106503"	"Dean, S., Pappalardo, M., Boschian, G., Spada, G., Forenbaher, S., Juracic, M., … Miracle, P. T. (2020). Human adaptation to changing coastal landscapes in the Eastern Adriatic: Evidence from Vela Spila cave, Croatia. Quaternary Science Reviews, 244, 106503. doi:10.1016/j.quascirev.2020.106503"
"Gonzalez-Samperiz et al. 2008"	"10.1016/j.yqres.2008.10.006"	"González-Sampériz, P., Utrilla, P., Mazo, C., Valero-Garcés, B., Sopena, M., Morellón, M., … Martínez-Bea, M. (2009). Patterns of human occupation during the early Holocene in the Central Ebro Basin (NE Spain) in response to the 8.2 ka climatic event. Quaternary Research, 71(2), 121–132. doi:10.1016/j.yqres.2008.10.006"
"González-Sampériz et al. 2008"	"10.1016/j.yqres.2008.10.006"	"González-Sampériz, P., Utrilla, P., Mazo, C., Valero-Garcés, B., Sopena, M., Morellón, M., … Martínez-Bea, M. (2009). Patterns of human occupation during the early Holocene in the Central Ebro Basin (NE Spain) in response to the 8.2 ka climatic event. Quaternary Research, 71(2), 121–132. doi:10.1016/j.yqres.2008.10.006"
"González-Sampériz et al. 2009"	"10.1016/j.yqres.2008.10.006"	"González-Sampériz, P., Utrilla, P., Mazo, C., Valero-Garcés, B., Sopena, M., Morellón, M., … Martínez-Bea, M. (2009). Patterns of human occupation during the early Holocene in the Central Ebro Basin (NE Spain) in response to the 8.2 ka climatic event. Quaternary Research, 71(2), 121–132. doi:10.1016/j.yqres.2008.10.006"
"Cortés Sánchez et al. 2012"	"10.1016/j.yqres.2011.12.003"	"Cortés Sánchez, M., Jiménez Espejo, F. J., Simón Vallejo, M. D., Gibaja Bao, J. F., Carvalho, A. F., Martinez-Ruiz, F., … Bicho, N. F. (2012). The Mesolithic–Neolithic transition in southern Iberia. Quaternary Research, 77(2), 221–234. doi:10.1016/j.yqres.2011.12.003"
"Rofes et al. 2013"	"10.1016/j.yqres.2012.11.002"	"Rofes, J., Zuluaga, M. C., Murelaga, X., Fernández-Eraso, J., Bailon, S., Iriarte, M. J., … Alonso-Olazabal, A. (2013). Paleoenvironmental reconstruction of the early Neolithic to middle Bronze Age Peña Larga rock shelter (Álava, Spain) from the small mammal record. Quaternary Research, 79(2), 158–167. doi:10.1016/j.yqres.2012.11.002"
"Odriozola et al. 2016"	"10.1016/j.yqres.2015.11.010"	"Odriozola, C. P., García, R. V., Burbidge, C. I., Boaventura, R., Sousa, A. C., Rodriguez-Ariza, O., … Dias, M. I. (2016). Distribution and chronological framework for Iberian variscite mining and consumption at Pico Centeno, Encinasola, Spain. Quaternary Research, 85(1), 159–176. doi:10.1016/j.yqres.2015.11.010"
"Boric et al. 2019"	"10.1017/eaa.2019.14"	"Boric, D., Borovinic, N., Ðuricic, L., Bulatovic, J., Gerometta, K., Filipovic, D., … Cristiani, E. (2019). Spearheading into the Neolithic: Last Foragers and First Farmers in the Dinaric Alps of Montenegro. European Journal of Archaeology, 22(4), 470–498. doi:10.1017/eaa.2019.14"
"Oms et al. 2016"	"10.1017/RDC.2015.14"	"Oms, F. X., Martín, A., Esteve, X., Mestres, J., Morell, B., Subirà, M. E., & Gibaja, J. F. (2016). The Neolithic in Northeast Iberia: Chronocultural Phases and14C. Radiocarbon, 58(2), 291–309. doi:10.1017/rdc.2015.14"
"Garcia-Puchol et al. 2017"	"10.1017/RDC.2017.61"	"García-Puchol, O., Bernabeu-Aubán, J., Barton, C. M., Pardo-Gordó, S., McClure, S. B., & Diez-Castillo, A. (2017). A Bayesian Approach for Timing the Neolithization in Mediterranean Iberia. Radiocarbon, 60(1), 181–205. doi:10.1017/rdc.2017.61"
"García-Puchol et al. 2017"	"10.1017/RDC.2017.61"	"García-Puchol, O., Bernabeu-Aubán, J., Barton, C. M., Pardo-Gordó, S., McClure, S. B., & Diez-Castillo, A. (2017). A Bayesian Approach for Timing the Neolithization in Mediterranean Iberia. Radiocarbon, 60(1), 181–205. doi:10.1017/rdc.2017.61"
"Manen et al. 2020"	"10.1017/RDC.2018.98"	"Manen, C., Perrin, T., Guilaine, J., Bouby, L., Bréhard, S., Briois, F., … Vigne, J.-D. (2018). The Neolithic Transition in the Western Mediterranean: a Complex and Non-Linear Diffusion Process—The Radiocarbon Record Revisited. Radiocarbon, 61(2), 531–571. doi:10.1017/rdc.2018.98"
"Manen et al. 2018"	"10.1017/RDC.2018.98"	"Manen, C., Perrin, T., Guilaine, J., Bouby, L., Bréhard, S., Briois, F., … Vigne, J.-D. (2018). The Neolithic Transition in the Western Mediterranean: a Complex and Non-Linear Diffusion Process—The Radiocarbon Record Revisited. Radiocarbon, 61(2), 531–571. doi:10.1017/rdc.2018.98"
"Alessio et al. 1967"	"10.1017/S003382220000062X"	"Alessio, M., Bella, F., Bachechi, F., & Cortesi, C. (1967). University of Rome Carbon-14 Dates V. Radiocarbon, 9, 346–367. doi:10.1017/s003382220000062x"
"Evin et al. 1971"	"10.1017/S0033822200000850"	"Evin, J., Longin, R., Marien, G., & Pachiaudi, C. (1971). Lyon Natural Radiocarbon Measurements II. Radiocarbon, 13(1), 52–73. doi:10.1017/s0033822200000850"
"Delibrias et al. 1974"	"10.1017/S0033822200001417"	"Delibrias, G., Guillier, M. T., & Labeyrie, J. (1974). Gif Natural Radiocarbon Measurements VIII. Radiocarbon, 16(1), 15–94. doi:10.1017/s0033822200001417"
"Alessio et al. 1978"	"10.1017/S0033822200003921"	"Alessio, M., Allegri, L., Bella, F., Improta, S., Belluomini, G., Calderoni, G., … Turi, B. (1978). University of Rome Carbon-14 Dates XVI. Radiocarbon, 20(1), 79–104. doi:10.1017/s0033822200003921"
"Shotton et al. 1970"	"10.1017/S0033822200008158"	"Shotton, F. W., Blundell, D. J., & Williams, R. E. G. (1970). Birmingham University Radiocarbon Dates IV. Radiocarbon, 12(2), 385–399. doi:10.1017/s0033822200008158"
"Alessio et al. 1970"	"10.1017/S0033822200008304"	"Alessio, M., Bella, F., Improta, S., Belluomini, G., Cortesi, C., & Turi, B. (1970). University of Rome Carbon-14 Dates VIII. Radiocarbon, 12(2), 599–616. doi:10.1017/s0033822200008304"
"Azzi et al. 1973"	"10.1017/S0033822200008948 "	"10.1017/S0033822200008948 "
"Alessio et al. 1968"	"10.1017/S003382220001095X"	"Alessio, M., Bella, F., Cortesi, C., & Graziadei, B. (1968). University of Rome Carbon-14 Dates VI. Radiocarbon, 10(2), 350–364. doi:10.1017/s003382220001095x"
"Alessio et al. 1969"	"10.1017/S003382220001136X"	"Alessio, M., Bella, F., Cortesi, C., & Turi, B. (1969). University of Rome Carbon-14 Dates VII. Radiocarbon, 11(2), 482–498. doi:10.1017/s003382220001136x"
"Quarta et al. 2005"	"10.1017/S0033822200019706"	"Quarta, G., D’Elia, M., Ingravallo, E., Tiberi, I., & Calcagnile, L. (2005). The Neolithic Site of Serra Cicora: Results of the AMS Radiocarbon Dating. Radiocarbon, 47(2), 207–210. doi:10.1017/s0033822200019706"
"Ferrara et al. 1961"	"10.1017/S0033822200020889"	"Ferrara, G., Fornaca-Rinaldi, G., & Tongiorgi, E. (1961). Carbon-14 Dating in Pisa—II. Radiocarbon, 3, 99–104. doi:10.1017/s0033822200020889"
"Meulengracht et al. 1981"	"10.1017/S0033822200037620"	"Meulengracht, A., McGovern, P., & Lawn, B. (1981). University of Pennsylvania Radiocarbon Dates Xxi. Radiocarbon, 23(2), 227–240. doi:10.1017/s0033822200037620"
"Srdoc et al. 1981"	"10.1017/S0033822200037802"	"Srdoc, D., Sliepcevic, A., Obelic, B., & Horvatincic, N. (1981). Rudjer Boškovic Institute Radiocarbon Measurements VI. Radiocarbon, 23(3), 410–421. doi:10.1017/s0033822200037802"
"Ambers et al. 1987"	"10.1017/S0033822200043575"	"Ambers, J., Burleigh, R., & Matthews, K. (1987). British Museum Natural Radiocarbon Measurements XIX. Radiocarbon, 29(1), 61–77. doi:10.1017/s0033822200043575"
"Srdoc et al. 1987"	"10.1017/S0033822200043617"	"Srdoc, D., Obelic, B., Sliepcevic, A., Bronic, I. K., & Horvatincic, N. (1987). Rudjer Boškovic Institute Radiocarbon Measurements X. Radiocarbon, 29(1), 135–147. doi:10.1017/s0033822200043617"
"Ambers et al. 1983"	"10.1017/S003382220004457X"	"Ambers, J., Matthews, K., & Bowman, S. (1989). British Museum Natural Radiocarbon Measurements XXI. Radiocarbon, 31(1), 15–32. doi:10.1017/s003382220004457x"
"Willigen et al. 2009"	"10.1017/S0033822200056137"	"Van Willigen, S., Hajdas, I., & Bonani, G. (2009). New Radiocarbon Dates for the Early Neolithic of the Western Mediterranean. Radiocarbon, 51(2), 831–838. doi:10.1017/s0033822200056137"
"Alessio et al. 1973"	"10.1017/S0033822200058677"	"Alessio, M., Bella, F., Improta, S., Belluomini, G., Calderoni, G., Cortesi, C., & Turi, B. (1973). University of Rome Carbon-14 Dates X. Radiocarbon, 15(1), 165–178. doi:10.1017/s0033822200058677"
"Alessio et al. 1974"	"10.1017/S0033822200059658"	"Alessio, M., Bella, F., Improta, S., Belluomini, G., Calderoni, G., Cortesi, C., & Turi, B. (1974). University of Rome Carbon-14 Dates XII. Radiocarbon, 16(3), 358–367. doi:10.1017/s0033822200059658"
"Delibrias et al. 1986"	"10.1017/S0033822200060008"	"Delibrias, G., Guillier, M.-T., & Labeyrie, J. (1986). Gif Natural Radiocarbon Measurements X. Radiocarbon, 28(1), 9–68. doi:10.1017/s0033822200060008"
"Salavert et al. 2020"	"10.1038/s41598-020-76924-3"	"Salavert, A., Zazzo, A., Martin, L., Antolín, F., Gauthier, C., Thil, F., … Vostrovská, I. (2020). Direct dating reveals the early history of opium poppy in western Europe. Scientific Reports, 10(1). doi:10.1038/s41598-020-76924-3"
"Manino et al. 2015, tabl. 14"	"10.1038/srep16288"	"Mannino, M. A., Talamo, S., Tagliacozzo, A., Fiore, I., Nehlich, O., Piperno, M., … Richards, M. P. (2015). Climate-driven environmental changes around 8,200 years ago favoured increases in cetacean strandings and Mediterranean hunter-gatherers exploited them. Scientific Reports, 5(1). doi:10.1038/srep16288"
"Gomez Bellard 1995"	"10.1080/00438243.1995.9980286"	"Bellard, C. G. (1995). The first colonization of Ibiza and Formentera (Balearic Islands, Spain): Some more islands out of the stream? World Archaeology, 26(3), 442–455. doi:10.1080/00438243.1995.9980286"
"Zemour et al. 2017"	"10.1080/00934690.2017.1317121"	"Erratum. (2017). Journal of Field Archaeology, 42(2), 172–172. doi:10.1080/00934690.2017.1317121"
"Nicod et al. 2019"	"10.1080/00934690.2019.1580077"	"Nicod, P.-Y., Perrin, T., Le Bourdonnec, F.-X., Philibert, S., Oberlin, C., & Besse, M. (2019). First Obsidian in the Northern French Alps during the Early Neolithic. Journal of Field Archaeology, 44(3), 180–194. doi:10.1080/00934690.2019.1580077"
"Bagolini & Biagi 1990"	"10.1111/j.1468-0092.1990.tb00211.x"	"BAGOLINI, B., & BIAGI, P. (1990). THE RADIOCARBON CHRONOLOGY OF THE NEOLITHIC AND COPPER AGE OF NORTHERN ITALY. Oxford Journal of Archaeology, 9(1), 1–23. doi:10.1111/j.1468-0092.1990.tb00211.x"
"Gowlett et al. 1987"	"10.1111/j.1475-4754.1987.tb00404.x"	"GOWLETT, J. A. J., HEDGES, R. E. M., LAW, I. A., & PERRY, C. (1987). RADIOCARBON DATES FROM THE OXFORD AMS SYSTEM: ARCHAEOMETRY DATELIST 5. Archaeometry, 29(1), 125–155. doi:10.1111/j.1475-4754.1987.tb00404.x"
